"REGION","SURROGATE","SURROGATE CODE","DATA SHAPEFILE","DATA ATTRIBUTE","WEIGHT SHAPEFILE","WEIGHT ATTRIBUTE","WEIGHT FUNCTION","FILTER FUNCTION","MERGE FUNCTION","SECONDARY SURROGATE","TERTIARY SURROGATE","QUARTERNARY SURROGATE","DETAILS","COMMENTS"
"GLOBAL","electric_gen_egugrid","electric_gen_egugrid","gped_so2","DN","gped_so2","DN",,,,,,,"electric generation",
"GLOBAL","population","population","population_cities","DN","population_cities","DN",,,,,,,"population counts",
