city,source,emission,metric,domain,value
Guadalajara,population_gpw,VOC,population,city,1.2152207681383276e+06
Guadalajara,population_gpw,VOC,population,total,1.5178940125320894e+08
Guadalajara,population_gpw,VOC,exposure,city,0.058263166976280034
Guadalajara,population_gpw,VOC,exposure,total,0.0008094387548060979
Guadalajara,population_gpw,VOC,iF,city,0.3876442926357995
Guadalajara,population_gpw,VOC,iF,total,0.6726816260888043
Guadalajara,residential,PM2_5,population,city,1.2152207681383276e+06
Guadalajara,residential,PM2_5,population,total,1.5178940125320894e+08
Guadalajara,residential,PM2_5,exposure,city,1.907680334466676
Guadalajara,residential,PM2_5,exposure,total,0.02540459093002637
Guadalajara,residential,PM2_5,iF,city,12.69243386873604
Guadalajara,residential,PM2_5,iF,total,21.112408363773937
Guadalajara,residential,NH3,population,city,1.2152207681383276e+06
Guadalajara,residential,NH3,population,total,1.5178940125320894e+08
Guadalajara,residential,NH3,exposure,city,0.37787009669993177
Guadalajara,residential,NH3,exposure,total,0.005252658599825545
Guadalajara,residential,NH3,iF,city,2.514095850695869
Guadalajara,residential,NH3,iF,total,4.3652060236063335
Guadalajara,residential,NOx,population,city,1.2152207681383276e+06
Guadalajara,residential,NOx,population,total,1.5178940125320894e+08
Guadalajara,residential,NOx,exposure,city,0.14474694689171064
Guadalajara,residential,NOx,exposure,total,0.002056536887776123
Guadalajara,residential,NOx,iF,city,0.9630497405311372
Guadalajara,residential,NOx,iF,total,1.7090787531074483
Guadalajara,residential,SOx,population,city,1.2152207681383276e+06
Guadalajara,residential,SOx,population,total,1.5178940125320894e+08
Guadalajara,residential,SOx,exposure,city,1.0540522369713037
Guadalajara,residential,SOx,exposure,total,0.01492268412212891
Guadalajara,residential,SOx,iF,city,7.012961275659292
Guadalajara,residential,SOx,iF,total,12.401451451738215
Guadalajara,residential,VOC,population,city,1.2152207681383276e+06
Guadalajara,residential,VOC,population,total,1.5178940125320894e+08
Guadalajara,residential,VOC,exposure,city,0.05520667962509342
Guadalajara,residential,VOC,exposure,total,0.0007843596240085641
Guadalajara,residential,VOC,iF,city,0.36730846232153996
Guadalajara,residential,VOC,iF,total,0.6518396903825998
Guadalajara,commercial,PM2_5,population,city,1.2152207681383276e+06
Guadalajara,commercial,PM2_5,population,total,1.5178940125320894e+08
Guadalajara,commercial,PM2_5,exposure,city,1.9486448679315334
Guadalajara,commercial,PM2_5,exposure,total,0.024994216805399438
Guadalajara,commercial,PM2_5,iF,city,12.96498457997021
Guadalajara,commercial,PM2_5,iF,total,20.771368190172492
Guadalajara,commercial,NH3,population,city,1.2152207681383276e+06
Guadalajara,commercial,NH3,population,total,1.5178940125320894e+08
Guadalajara,commercial,NH3,exposure,city,0.3857385749914901
Guadalajara,commercial,NH3,exposure,total,0.00517054197457323
Guadalajara,commercial,NH3,iF,city,2.5664474625245406
Guadalajara,commercial,NH3,iF,total,4.2969632508509275
Guadalajara,commercial,NOx,population,city,1.2152207681383276e+06
Guadalajara,commercial,NOx,population,total,1.5178940125320894e+08
Guadalajara,commercial,NOx,exposure,city,0.14770955509735714
Guadalajara,commercial,NOx,exposure,total,0.0020247919507376277
